trial_id,pair_id,surface,desired_velocity_mps,condition,command_velocity_mps,risk_policy,compensator_status,compensator_reason,repeat_index,order_in_pair,randomization_seed,physical_run_status,notes
M23A_S2_marble_floor_V040_dire_R1,M23A_S2_marble_floor_V040_P1,S2_marble_floor,0.4,direct,0.4,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),1,1,42,planned,
M23A_S2_marble_floor_V040_comp_R1,M23A_S2_marble_floor_V040_P1,S2_marble_floor,0.4,compensated,0.38188437161486893,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,1,2,42,planned,
M23A_S2_marble_floor_V040_dire_R2,M23A_S2_marble_floor_V040_P2,S2_marble_floor,0.4,direct,0.4,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),2,1,42,planned,
M23A_S2_marble_floor_V040_comp_R2,M23A_S2_marble_floor_V040_P2,S2_marble_floor,0.4,compensated,0.38188437161486893,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,2,2,42,planned,
M23A_S2_marble_floor_V040_dire_R3,M23A_S2_marble_floor_V040_P3,S2_marble_floor,0.4,direct,0.4,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),3,1,42,planned,
M23A_S2_marble_floor_V040_comp_R3,M23A_S2_marble_floor_V040_P3,S2_marble_floor,0.4,compensated,0.38188437161486893,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,3,2,42,planned,
M23A_S2_marble_floor_V045_dire_R1,M23A_S2_marble_floor_V045_P1,S2_marble_floor,0.45,direct,0.45,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),1,1,42,planned,
M23A_S2_marble_floor_V045_comp_R1,M23A_S2_marble_floor_V045_P1,S2_marble_floor,0.45,compensated,0.4165612727217716,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,1,2,42,planned,
M23A_S2_marble_floor_V045_dire_R2,M23A_S2_marble_floor_V045_P2,S2_marble_floor,0.45,direct,0.45,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),2,1,42,planned,
M23A_S2_marble_floor_V045_comp_R2,M23A_S2_marble_floor_V045_P2,S2_marble_floor,0.45,compensated,0.4165612727217716,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,2,2,42,planned,
M23A_S2_marble_floor_V045_dire_R3,M23A_S2_marble_floor_V045_P3,S2_marble_floor,0.45,direct,0.45,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),3,1,42,planned,
M23A_S2_marble_floor_V045_comp_R3,M23A_S2_marble_floor_V045_P3,S2_marble_floor,0.45,compensated,0.4165612727217716,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,3,2,42,planned,
M23A_S2_marble_floor_V050_dire_R1,M23A_S2_marble_floor_V050_P1,S2_marble_floor,0.5,direct,0.5,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),1,1,42,planned,
M23A_S2_marble_floor_V050_comp_R1,M23A_S2_marble_floor_V050_P1,S2_marble_floor,0.5,compensated,0.4518249304121061,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,1,2,42,planned,
M23A_S2_marble_floor_V050_dire_R2,M23A_S2_marble_floor_V050_P2,S2_marble_floor,0.5,direct,0.5,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),2,1,42,planned,
M23A_S2_marble_floor_V050_comp_R2,M23A_S2_marble_floor_V050_P2,S2_marble_floor,0.5,compensated,0.4518249304121061,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,2,2,42,planned,
M23A_S2_marble_floor_V050_dire_R3,M23A_S2_marble_floor_V050_P3,S2_marble_floor,0.5,direct,0.5,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),3,1,42,planned,
M23A_S2_marble_floor_V050_comp_R3,M23A_S2_marble_floor_V050_P3,S2_marble_floor,0.5,compensated,0.4518249304121061,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,3,2,42,planned,
M23A_S2_marble_floor_V055_dire_R1,M23A_S2_marble_floor_V055_P1,S2_marble_floor,0.55,direct,0.55,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),1,1,42,planned,
M23A_S2_marble_floor_V055_comp_R1,M23A_S2_marble_floor_V055_P1,S2_marble_floor,0.55,compensated,0.5029348230314161,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,1,2,42,planned,
M23A_S2_marble_floor_V055_dire_R2,M23A_S2_marble_floor_V055_P2,S2_marble_floor,0.55,direct,0.55,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),2,1,42,planned,
M23A_S2_marble_floor_V055_comp_R2,M23A_S2_marble_floor_V055_P2,S2_marble_floor,0.55,compensated,0.5029348230314161,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,2,2,42,planned,
M23A_S2_marble_floor_V055_dire_R3,M23A_S2_marble_floor_V055_P3,S2_marble_floor,0.55,direct,0.55,na_direct,na_direct_baseline,u_cmd = v_desired (no compensation),3,1,42,planned,
M23A_S2_marble_floor_V055_comp_R3,M23A_S2_marble_floor_V055_P3,S2_marble_floor,0.55,compensated,0.5029348230314161,permissive,feasible_but_risky,offline inverse lookup computed from measured monotonic segment,3,2,42,planned,
